월별,2018,2019,2020,2021,2022
1월,29,106,29,44,88
2월,130,61,42,82,143
3월,83,141,171,44,82
4월,88,152,184,94,180
5월,3,99,26,20,115
6월,45,15,38,3,26
7월,15,15,-,7,3
8월,46,4,1,6,-
9월,3,2,2,1,11
10월,9,9,35,-,24
11월,13,19,46,24,47
12월,32,30,46,24,37
