연도별,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월
2019,-0.1,2.1,7.2,11.7,18.4,21.2,24.7,26,21.5,15.5,8.4,2.5
2022,-0.8,-0.1,7.7,13.8,18,22.4,25.9,25.3,21,14,9.6,-1.4
