월별,2015,2016,2017,2018,2019,2020,2021,2022
6월,88,28,86,45,15,38,3,26
7월,4,1,3,15,15,0,7,3
8월,8,14,0,46,4,1,6,0
9월,33,5,4,3,2,2,1,11
10월,41,1,4,9,9,35,0,24
11월,8,9,50,13,19,46,24,47
12월,8,12,50,32,30,46,24,37
