"통계표명:","기온 추이","","","","","","","","",""
"단위:","℃","","","","","","","","",""
"","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"년 평균","12.1","12.6","12.8","13.1","13.4","12.8","12.8","13.3","13.0","13.3"
"봄","12.0","11.4","12.9","12.5","13.0","12.7","12.9","12.5","12.0","12.8"
"여름","24.5","25.2","23.4","23.5","24.6","24.3","25.3","23.9","23.9","24.2"
"가을","13.4","14.2","14.5","14.9","14.8","14.0","13.5","15.2","14.1","14.9"
"겨울","-1.4","1.2","0.3","1.1","1.3","-1.1","1.0","2.8","0.9","0.3"
"출처:","기상청 기상연보, 기상자료개방포털","","","","","","","","",""
